time/fps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,time/total_timesteps,train/n_updates,train/learning_rate,train/loss
1451,292,152,926.33,-8.165006729999998,0.01,221800,55424,0.001,0.4639107584953308
1444,296,155,921.11,-8.724466859999996,0.01,225278,56294,0.001,0.12431503087282181
1426,300,160,921.11,-8.95247294,0.01,229278,57294,0.001,2.9169366359710693
1413,304,164,921.81,-7.155765429999999,0.01,232821,58180,0.001,0.0758148580789566
1417,308,166,919.09,-9.099262109999998,0.01,235949,58962,0.001,0.10514047741889954
1423,312,168,919.09,-9.041984009999998,0.01,239949,59962,0.001,0.12297680974006653
1428,316,170,921.56,-11.432471199999998,0.01,243949,60962,0.001,0.08233749121427536
1417,320,174,909.73,-9.42974458,0.01,246766,61666,0.001,0.0787675753235817
1410,324,177,909.73,-10.09060309,0.01,250766,62666,0.001,0.0956217497587204
1416,328,179,913.33,-9.232265639999998,0.01,254285,63546,0.001,0.1506018042564392
1420,332,180,906.67,-13.416060439999999,0.01,256965,64216,0.001,0.24691373109817505
1425,336,182,906.65,-10.75282426,0.01,260906,65201,0.001,0.1633206605911255
1429,340,185,906.65,-10.208731459999997,0.01,264906,66201,0.001,0.8322899341583252
1432,344,187,911.71,-15.116553750000001,0.01,268707,67151,0.001,0.09973796457052231
1435,348,189,921.46,-17.54740637,0.01,272632,68132,0.001,0.1042288988828659
1437,352,192,924.77,-18.94268936,0.01,276632,69132,0.001,0.06972138583660126
1439,356,194,915.28,-22.85855359,0.01,279683,69895,0.001,0.11160112917423248
1442,360,196,923.53,-26.781636479999996,0.01,283683,70895,0.001,0.10245423018932343
1444,364,199,925.76,-25.216900499999998,0.01,287683,71895,0.001,0.07905109226703644
1448,368,201,925.76,-26.264697580000004,0.01,291683,72895,0.001,0.07251625508069992
1433,372,206,925.64,-23.59239975999999,0.01,295637,73884,0.001,0.7455893158912659
1420,376,210,925.64,-22.231167099999997,0.01,299637,74884,0.001,0.10843809694051743
1409,380,215,925.64,-21.545647819999996,0.01,303637,75884,0.001,0.14712247252464294
1414,384,217,928.83,-20.278337739999998,0.01,307560,76864,0.001,0.1333308219909668
1412,388,220,927.27,-17.798296829999995,0.01,310924,77705,0.001,0.10930301249027252
1416,392,221,926.06,-15.689675089999998,0.01,314406,78576,0.001,0.09579064697027206
1419,396,224,927.17,-11.60214157,0.01,317995,79473,0.001,0.10300521552562714
1421,400,226,920.39,-4.09136107,0.01,321317,80304,0.001,0.1027948185801506
1423,404,228,920.15,-1.9859814499999993,0.01,324836,81183,0.001,0.12852923572063446
1425,408,229,918.94,6.132006669999999,0.01,327843,81935,0.001,0.44487425684928894
1426,412,231,900.66,11.842966529999998,0.01,330015,82478,0.001,0.09353551268577576
1417,416,234,888.42,19.98173285,0.01,332791,83172,0.001,0.1262541562318802
1420,420,236,889.14,26.75454443,0.01,335680,83894,0.001,0.16565662622451782
1423,424,237,871.81,32.385190120000004,0.01,337947,84461,0.001,0.21798601746559143
1424,428,239,863.24,36.16406235,0.01,340609,85127,0.001,0.1464240998029709
1417,432,242,863.28,40.907221959999994,0.01,343293,85798,0.001,0.1240076795220375
1420,436,243,855.95,40.223330530000005,0.01,346501,86600,0.001,0.981104850769043
1411,440,247,846.27,48.033262599999986,0.01,349533,87358,0.001,0.11538638174533844
1407,444,249,827.55,57.643715109999995,0.01,351462,87840,0.001,0.38563576340675354
1403,448,251,809.48,66.16574673,0.01,353580,88369,0.001,1.2509151697158813
1397,452,254,794.41,73.7749671,0.01,356073,88993,0.001,0.14888671040534973
1401,456,256,800.17,80.53733973,0.01,359700,89899,0.001,0.6396661400794983
1396,460,259,786.9,85.89705131,0.01,362373,90568,0.001,0.1106685921549797
1388,464,263,785.34,88.69138829999999,0.01,366217,91529,0.001,0.06431254744529724
1383,468,266,769.52,98.20015326000001,0.01,368635,92133,0.001,0.10817430913448334
1382,472,268,748.9,105.62891092,0.01,370527,92606,0.001,0.06113487482070923
1384,476,269,729.31,115.42597510999998,0.01,372568,93116,0.001,0.0790175274014473
1381,480,271,707.38,126.75609268999999,0.01,374375,93568,0.001,1.7705610990524292
1379,484,272,679.05,133.67768759,0.01,375465,93841,0.001,0.4557856619358063
1380,488,272,658.23,136.48174444,0.01,376747,94161,0.001,0.4934207499027252
1381,492,273,635.33,140.66557859,0.01,377939,94459,0.001,0.16737446188926697
1382,496,274,610.08,141.75026069,0.01,379003,94725,0.001,0.16279236972332
1384,500,274,593.24,145.91422762000002,0.01,380641,95135,0.001,0.22325602173805237
1386,504,275,570.83,151.09714367,0.01,381919,95454,0.001,0.5450718402862549
1387,508,275,551.48,146.22020114999998,0.01,382991,95722,0.001,0.6419588923454285
1389,512,276,547.31,150.94689432999996,0.01,384746,96161,0.001,1.7386057376861572
1392,516,277,536.42,153.38273509,0.01,386433,96583,0.001,2.5100722312927246
1393,520,278,519.47,156.43400287,0.01,387627,96881,0.001,0.2989397943019867
1395,524,278,513.88,161.31973498,0.01,389335,97308,0.001,1.1140323877334595
1397,528,279,504.78,163.34857847,0.01,391087,97746,0.001,0.5967843532562256
1398,532,280,489.19,171.04886060999996,0.01,392212,98027,0.001,0.4594932198524475
1401,536,281,483.31,167.89976962,0.01,394832,98682,0.001,0.25860995054244995
1402,540,283,479.91,167.49526486000002,0.01,397524,99355,0.001,0.585448145866394
1407,544,285,500.62,159.42101319,0.01,401524,100355,0.001,0.5554205775260925
1410,548,286,508.01,155.31982179,0.01,404381,101070,0.001,0.13490058481693268
1412,552,287,502.68,158.37862901,0.01,406341,101560,0.001,0.09283597022294998
1414,556,289,493.8,157.84033831,0.01,409080,102244,0.001,0.12309273332357407
1408,560,293,505.76,153.845344,0.01,412949,103212,0.001,0.06815005838871002
1404,564,295,490.4,157.14814936,0.01,415257,103789,0.001,0.11243359744548798
1400,568,297,486.76,158.03694443,0.01,417311,104302,0.001,0.6856342554092407
1403,572,298,488.29,153.32021652,0.01,419356,104813,0.001,0.8765928149223328
1405,576,299,487.95,153.05586391999998,0.01,421363,105315,0.001,0.17148008942604065
1406,580,300,485.13,151.92443873000002,0.01,422888,105696,0.001,0.8207342028617859
1409,584,301,498.36,152.0027805,0.01,425301,106300,0.001,0.18742088973522186
1411,588,302,509.67,149.44579302,0.01,427714,106903,0.001,0.17504608631134033
1408,592,305,517.6,151.05908423,0.01,429699,107399,0.001,0.7313805818557739
1410,596,306,528.88,157.9984165,0.01,431891,107947,0.001,0.920034646987915
1412,600,307,537.4,150.71487853000002,0.01,434381,108570,0.001,0.3155522644519806
1414,604,308,541.41,149.18481820999997,0.01,436060,108989,0.001,0.1513279378414154
1416,608,309,550.46,154.26933158,0.01,438037,109484,0.001,0.18331220746040344
1417,612,310,556.55,152.05502645,0.01,440401,110075,0.001,0.1716454029083252
1418,616,312,561.7,149.1343131,0.01,442603,110625,0.001,0.11383426189422607
1418,620,312,562.27,145.90551554000004,0.01,443854,110938,0.001,0.5613048076629639
1415,624,314,561.7,142.58611325,0.01,445505,111351,0.001,1.8841392993927002
1413,628,315,555.63,146.01392159,0.01,446650,111637,0.001,1.2442747354507446
1414,632,316,557.33,143.03829879,0.01,447945,111961,0.001,1.1051101684570312
1415,636,317,543.68,153.44102329999998,0.01,449200,112274,0.001,3.3761446475982666
1416,640,318,531.75,155.85865398000004,0.01,450699,112649,0.001,0.20453281700611115
1413,644,320,508.99,167.73238157,0.01,452423,113080,0.001,0.5012729167938232
1412,648,321,499.77,171.52778597,0.01,454358,113564,0.001,0.19299355149269104
1412,652,322,490.1,162.28279893,0.01,455351,113812,0.001,0.9961830973625183
1413,656,323,489.3,167.76110452,0.01,458010,114477,0.001,0.6701735258102417
1414,660,325,468.8,175.88133244000005,0.01,459829,114932,0.001,1.0388096570968628
1416,664,325,461.02,180.54822787999993,0.01,461359,115314,0.001,0.28312504291534424
1417,668,326,456.32,181.94572536000004,0.01,462943,115710,0.001,0.21702057123184204
1418,672,327,449.12,187.69358273999998,0.01,464268,116041,0.001,0.20044520497322083
1416,676,328,443.27,186.19685727999996,0.01,465690,116397,0.001,0.14239677786827087
1413,680,330,446.32,186.53161224000004,0.01,467520,116854,0.001,0.9501842856407166
1415,684,331,439.38,188.31544561999996,0.01,469239,117284,0.001,0.4459037780761719
1415,688,332,434.02,192.1228535,0.01,471116,117753,0.001,0.2544185519218445
1417,692,333,432.54,192.65920778000003,0.01,472953,118213,0.001,0.11909110844135284
1418,696,334,433.47,191.01217153,0.01,475238,118784,0.001,0.1339554488658905
1414,700,337,433.7,196.40964118000002,0.01,477751,119412,0.001,0.15032894909381866
1408,704,341,452.56,191.31649024,0.01,481316,120303,0.001,0.10471151024103165
1410,708,343,459.33,193.38452704000002,0.01,483970,120967,0.001,0.1291244924068451
1412,712,344,458.02,194.83830014,0.01,486203,121525,0.001,0.1001337394118309
1413,716,344,447.16,194.23256402000004,0.01,487319,121804,0.001,0.14005225896835327
1411,720,346,450.5,196.44315240000003,0.01,488904,122200,0.001,0.6101626753807068
1412,724,347,452.32,199.95026571000002,0.01,490737,122659,0.001,0.15644681453704834
1414,728,348,463.6,198.37634683,0.01,493010,123227,0.001,0.10483105480670929
1415,732,350,478.95,200.21447705999998,0.01,495840,123934,0.001,0.12302734702825546
1416,736,351,480.45,199.93026691,0.01,497245,124286,0.001,1.265450358390808
1417,740,352,482.87,201.33976596,0.01,498986,124721,0.001,0.3915003538131714
1415,744,353,479.87,200.82609152,0.01,500410,125077,0.001,0.4638902544975281
1416,748,354,481.35,200.95086388000004,0.01,502493,125598,0.001,0.750495433807373
1413,752,356,484.56,208.10286988,0.01,503807,125926,0.001,0.686519205570221
1411,756,357,469.04,208.87327554000004,0.01,504914,126203,0.001,0.6874527931213379
1410,760,358,462.04,209.63151853,0.01,506033,126483,0.001,0.5532233715057373
1408,764,359,456.32,208.88659776000003,0.01,506991,126722,0.001,0.12782926857471466
1408,768,360,452.56,207.30324174,0.01,508199,127024,0.001,0.8592492341995239
1409,772,361,451.18,208.23498597999998,0.01,509386,127321,0.001,0.3649974763393402
1408,776,362,448.5,211.87948300000005,0.01,510540,127609,0.001,0.2348688542842865
1409,780,363,446.15,211.42685395000004,0.01,512135,128008,0.001,0.652850866317749
1410,784,364,444.41,211.44851632000007,0.01,513680,128394,0.001,0.1481190025806427
1411,788,365,443.64,212.92972505000006,0.01,515480,128844,0.001,0.21531738340854645
1412,792,365,437.92,213.54513277,0.01,516745,129161,0.001,0.3150370419025421
1413,796,366,427.17,215.50081536999997,0.01,517955,129463,0.001,0.8128110766410828
1414,800,366,414.39,217.93015331000004,0.01,519190,129772,0.001,3.4228453636169434
1415,804,367,389.13,224.39018682999998,0.01,520229,130032,0.001,0.226743683218956
1416,808,367,372.66,223.45573837999996,0.01,521236,130283,0.001,1.0244370698928833
1417,812,368,355.31,216.43273218,0.01,521734,130408,0.001,0.5368037819862366
1417,816,368,351.8,217.05824174,0.01,522499,130599,0.001,0.7519853115081787
1418,820,368,341.86,209.70393084,0.01,523090,130747,0.001,1.0668609142303467
1418,824,369,331.12,199.53119816000003,0.01,523849,130937,0.001,0.5241451263427734
1419,828,369,316.31,198.73044496999995,0.01,524641,131135,0.001,1.109652042388916
1418,832,370,301.36,201.23503057999997,0.01,525976,131468,0.001,0.24674075841903687
1416,836,372,298.85,195.48829872,0.01,527130,131757,0.001,0.7296785712242126
1414,840,373,292.35,194.05700451,0.01,528221,132030,0.001,1.2259938716888428
1413,844,374,288.52,192.00111690999995,0.01,529262,132290,0.001,0.5649775266647339
1414,848,375,279.95,193.67140774,0.01,530488,132596,0.001,0.4729495942592621
1414,852,375,278.82,191.38175955999998,0.01,531689,132897,0.001,0.17196208238601685
1415,856,376,279.77,188.31099182999995,0.01,532891,133197,0.001,0.4647669196128845
1416,860,376,275.3,177.72748510999998,0.01,533563,133365,0.001,0.30979931354522705
1416,864,377,275.85,171.31860561000002,0.01,534576,133618,0.001,1.4978811740875244
1417,868,377,276.9,167.86829002000002,0.01,535889,133947,0.001,0.42655572295188904
1418,872,378,278.04,155.18205128000002,0.01,537190,134272,0.001,0.4495888650417328
1419,876,379,286.65,154.08658079,0.01,539205,134776,0.001,0.7299058437347412
1418,880,381,283.92,151.01303101,0.01,540527,135106,0.001,1.4357012510299683
1417,884,383,295.98,147.23208707999999,0.01,543278,135794,0.001,1.0210185050964355
1418,888,385,309.27,138.03419465000002,0.01,546407,136576,0.001,0.858738362789154
1419,892,387,330.42,129.59191689000002,0.01,549787,137421,0.001,0.37755143642425537
1420,896,388,344.75,124.20734689999999,0.01,552430,138082,0.001,0.2934608459472656
1421,900,389,346.64,123.33214186,0.01,553854,138438,0.001,0.35799020528793335
1419,904,391,357.75,119.74530260000002,0.01,556004,138975,0.001,0.35878777503967285
1417,908,393,360.21,124.15099952999999,0.01,557257,139289,0.001,0.34644681215286255
1415,912,394,365.0,133.28722998,0.01,558234,139533,0.001,0.2823483943939209
1416,916,394,367.44,137.21609393,0.01,559243,139785,0.001,0.2513428032398224
1416,920,395,373.05,145.57017064000001,0.01,560395,140073,0.001,1.005234956741333
1417,924,396,387.21,156.02223920999998,0.01,562570,140617,0.001,0.11590175330638885
1419,928,397,398.35,158.38541769,0.01,564476,141093,0.001,0.3172647953033447
1419,932,398,397.63,153.83799134999998,0.01,565739,141409,0.001,1.5184119939804077
1420,936,398,396.17,158.67527046,0.01,566747,141661,0.001,2.424130439758301
1421,940,400,407.31,158.36505007,0.01,568952,142212,0.001,0.7461727857589722
1422,944,400,406.61,158.20617507,0.01,569923,142455,0.001,0.6144688725471497
1423,948,401,409.56,155.82030171999997,0.01,571444,142835,0.001,0.42548954486846924
1425,952,402,424.8,149.76802217,0.01,574169,143517,0.001,0.53485506772995
1427,956,404,443.3,141.84695431000003,0.01,577221,144280,0.001,0.34751927852630615
1429,960,405,466.87,144.58578715000002,0.01,580250,145037,0.001,0.31899362802505493
1432,964,407,496.74,139.75018756,0.01,584250,146037,0.001,0.4942421615123749
1434,968,409,514.11,131.34782173,0.01,587300,146799,0.001,0.3868880271911621
1437,972,411,535.51,131.3435046,0.01,590741,147660,0.001,0.2072460800409317
1439,976,412,550.99,121.39942380000002,0.01,594304,148550,0.001,0.31605830788612366
1441,980,414,562.48,112.95220593000002,0.01,596775,149168,0.001,0.6178699731826782
1442,984,414,553.91,104.34650214999998,0.01,598669,149642,0.001,0.35679441690444946
1444,988,416,553.69,104.3899946,0.01,601776,150418,0.001,0.25054293870925903
1446,992,418,550.49,99.60536223999999,0.01,604836,151183,0.001,0.31358957290649414
1449,996,419,561.99,95.33469156999998,0.01,608629,152132,0.001,1.5858756303787231
1452,1000,421,585.55,87.86280652999999,0.01,612409,153077,0.001,0.3054576516151428
1454,1004,423,595.57,78.03419620000001,0.01,615561,153865,0.001,1.0508348941802979
1456,1008,424,615.33,72.49148675999999,0.01,618790,154672,0.001,0.38845935463905334
1456,1012,425,615.96,70.10924395,0.01,619830,154932,0.001,0.30019038915634155
1457,1016,425,615.33,61.66441428,0.01,620776,155168,0.001,0.38382387161254883
1458,1020,426,623.15,54.356051530000016,0.01,622710,155652,0.001,0.5405908823013306
1461,1024,428,634.45,47.483628409999994,0.01,626015,156478,0.001,0.26459836959838867
1461,1028,429,626.97,42.16556372,0.01,627173,156768,0.001,0.31319382786750793
1459,1032,430,630.09,46.47080019,0.01,628748,157161,0.001,0.28484615683555603
1460,1036,431,641.52,42.74939067,0.01,630899,157699,0.001,2.1755928993225098
1462,1040,433,656.94,36.227762889999994,0.01,634646,158636,0.001,0.7375990152359009
1464,1044,436,687.23,26.54395963,0.01,638646,159636,0.001,0.3598897159099579
1461,1048,439,712.02,15.9570437,0.01,642646,160636,0.001,0.3721301555633545
1456,1052,443,713.52,14.487435839999998,0.01,645521,161355,0.001,0.5268754959106445
1457,1056,445,717.26,19.599756980000002,0.01,648947,162211,0.001,0.7893849611282349
1455,1060,447,705.96,20.014759429999998,0.01,650846,162686,0.001,0.6378670930862427
1455,1064,447,675.86,27.105439709999995,0.01,651836,162933,0.001,0.5065982937812805
1456,1068,448,651.87,30.57438426,0.01,652487,163096,0.001,0.43336543440818787
1456,1072,448,626.87,35.55643566,0.01,653428,163331,0.001,0.4020746946334839
1456,1076,449,603.22,43.214334179999994,0.01,654626,163631,0.001,1.0215356349945068
1457,1080,449,587.81,49.67939120999999,0.01,655556,163863,0.001,0.505031943321228
1457,1084,450,578.31,57.848585299999996,0.01,656500,164099,0.001,0.26005950570106506
1457,1088,451,557.84,63.999512939999995,0.01,657560,164364,0.001,0.833564281463623
1458,1092,451,536.28,72.41088398,0.01,658464,164590,0.001,0.6362776756286621
1458,1096,452,506.96,77.70740219999999,0.01,659325,164806,0.001,0.4987155497074127
1458,1100,452,480.52,80.42976358,0.01,660461,165090,0.001,0.6355211734771729
1458,1104,453,457.89,87.37121504000002,0.01,661350,165312,0.001,1.8107949495315552
1458,1108,453,433.79,84.93433944999998,0.01,662169,165517,0.001,1.6483303308486938
1459,1112,455,451.22,84.85792516,0.01,664952,166212,0.001,0.28956958651542664
1459,1116,456,452.03,88.67989427,0.01,665979,166469,0.001,0.5393834114074707
1457,1120,458,448.81,95.92667705000002,0.01,667591,166872,0.001,1.5035072565078735
1455,1124,459,424.86,102.03250164999997,0.01,668501,167100,0.001,2.022829294204712
1455,1128,459,419.14,99.32645868999998,0.01,669087,167246,0.001,0.30315297842025757
1455,1132,460,417.73,91.59746541999999,0.01,670521,167605,0.001,2.5792794227600098
1455,1136,461,402.39,91.10161014000003,0.01,671138,167759,0.001,0.7615673542022705
1455,1140,461,372.35,91.56446740999999,0.01,671881,167945,0.001,2.6544699668884277
1454,1144,462,338.23,95.07518054999998,0.01,672469,168092,0.001,0.48651739954948425
1454,1148,462,306.38,100.91910453999999,0.01,673284,168295,0.001,0.2585868835449219
1455,1152,463,286.11,107.89210220000001,0.01,674132,168507,0.001,2.13108229637146
1455,1156,463,259.14,107.78698599999998,0.01,674861,168690,0.001,0.7249952554702759
1455,1160,464,247.94,108.66486700999998,0.01,675640,168884,0.001,0.3400203287601471
1456,1164,464,246.62,107.67783475999998,0.01,676498,169099,0.001,1.4105463027954102
1456,1168,465,260.67,112.66815331999999,0.01,678554,169613,0.001,1.6298961639404297
1456,1172,466,265.13,120.46300968999999,0.01,679941,169960,0.001,1.331931233406067
1456,1176,467,263.76,120.20858862000001,0.01,681002,170225,0.001,1.1715775728225708
1454,1180,469,268.22,120.46758130999999,0.01,682378,170569,0.001,0.4893506169319153
1454,1184,469,267.57,122.56532182000001,0.01,683257,170789,0.001,1.936478614807129
1454,1188,470,265.76,125.61633443999999,0.01,684136,171008,0.001,0.23013010621070862
1452,1192,471,270.13,128.27031802,0.01,685477,171344,0.001,0.3943796455860138
1452,1196,472,273.63,132.86306646,0.01,686688,171646,0.001,0.15658119320869446
1453,1200,473,275.18,135.39167796,0.01,687979,171969,0.001,1.1783307790756226
1453,1204,473,274.25,138.34111338,0.01,688775,172168,0.001,4.189826965332031
1454,1208,474,275.03,141.16727878,0.01,689672,172392,0.001,0.29018712043762207
1454,1212,474,255.74,138.25241417,0.01,690526,172606,0.001,3.1646509170532227
1454,1216,475,255.09,134.66319898999998,0.01,691488,172846,0.001,0.9010578393936157
1455,1220,475,249.16,129.96760141999997,0.01,692507,173101,0.001,2.3211770057678223
1456,1224,476,255.97,132.00024788000002,0.01,694098,173499,0.001,1.6503865718841553
1454,1228,478,263.1,142.37306321,0.01,695397,173824,0.001,1.109634280204773
1452,1232,479,256.71,148.71646359,0.01,696192,174022,0.001,0.6534278988838196
1453,1236,479,259.81,150.35028348,0.01,697119,174254,0.001,3.588231325149536
1453,1240,480,262.46,152.42194166000002,0.01,698127,174506,0.001,0.4458860754966736
1451,1244,482,273.02,157.76284607999997,0.01,699771,174917,0.001,0.7206994295120239
1451,1248,482,273.82,160.65021456,0.01,700666,175141,0.001,0.6283573508262634
1449,1252,484,277.57,166.74076151,0.01,701889,175447,0.001,0.5947745442390442
1447,1256,485,282.48,176.25877467999996,0.01,703109,175752,0.001,1.5345407724380493
1447,1260,486,284.21,178.11755501,0.01,704061,175990,0.001,2.4062423706054688
1448,1264,487,288.76,180.73538057000005,0.01,705374,176318,0.001,0.5642523169517517
1448,1268,487,281.18,184.14196654000003,0.01,706672,176642,0.001,0.6961724162101746
1448,1272,488,283.36,183.63787297000002,0.01,708277,177044,0.001,0.8909789323806763
1446,1276,490,287.64,186.75118891000002,0.01,709766,177416,0.001,0.9515476822853088
1444,1280,492,284.99,193.08900492,0.01,710877,177694,0.001,0.36724209785461426
1445,1284,492,285.8,193.7136569,0.01,711837,177934,0.001,0.9474081993103027
1445,1288,493,289.99,190.19049987,0.01,713135,178258,0.001,1.0332401990890503
1442,1292,495,299.25,184.21705722000002,0.01,715402,178825,0.001,1.9630728960037231
1441,1296,497,297.89,184.56807179,0.01,716477,179094,0.001,2.404996633529663
1441,1300,497,299.27,184.96203049,0.01,717906,179451,0.001,0.5784122347831726
1442,1304,498,301.31,189.95719731,0.01,718906,179701,0.001,1.3925014734268188
1440,1308,500,312.53,189.29737387,0.01,720925,180206,0.001,0.16543234884738922
1437,1312,502,322.65,194.49791419999997,0.01,722791,180672,0.001,0.39114663004875183
