time/total_timesteps,train/policy_loss,train/n_updates,train/entropy_loss,rollout/ep_rew_mean,train/explained_variance,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_len_mean,train/value_loss,time/iterations
9000,0.2655332386493683,1799,-0.6448386311531067,82.48,0.0002741217613220215,0.0007,1161,7,82.48,0.2883661389350891,1800
9500,0.1495361030101776,1899,-0.6383385062217712,86.27,-7.724761962890625e-05,0.0007,1172,8,86.27,0.15542833507061005,1900
10000,0.11764733493328094,1999,-0.6469680070877075,89.98,-6.103515625e-05,0.0007,1182,8,89.98,0.06293586641550064,2000
10500,0.050924092531204224,2099,-0.614399790763855,96.54,-0.00014197826385498047,0.0007,1195,8,96.54,0.011701800860464573,2100
11000,0.0037514190189540386,2199,-0.5893141031265259,100.93,0.0027268528938293457,0.0007,1146,9,100.93,0.00012517388677224517,2200
11500,0.0004703348968178034,2299,-0.6413604617118835,104.87,-0.00047266483306884766,0.0007,1156,9,104.87,1.5205238241833285e-06,2300
12000,-1.235399054166919e-06,2399,-0.5011358261108398,109.12,nan,0.0007,1115,10,109.12,1.396983917434369e-10,2400
12500,-1.3111280168232042e-05,2499,-0.5916711688041687,114.0,nan,0.0007,1079,11,114.0,1.0360963198507989e-09,2500
13000,-5.301487362885382e-06,2599,-0.4161527752876282,118.89,nan,0.0007,1049,12,118.89,2.9103830456733704e-10,2600
13500,4.94121832161909e-06,2699,-0.6351209878921509,123.64,nan,0.0007,1022,13,123.64,1.2805685678518586e-10,2700
14000,1.1345055099809542e-06,2799,-0.5558894872665405,128.43,nan,0.0007,998,14,128.43,6.984919587171845e-11,2800
14500,5.534703632292803e-06,2899,-0.59596186876297,133.22,nan,0.0007,977,14,133.22,2.2118910869561859e-10,2900
15000,5.4521296988241374e-06,2999,-0.6118406653404236,138.05,nan,0.0007,988,15,138.05,2.4447216473433286e-10,3000
15500,2.0993379621359054e-06,3099,-0.5395463705062866,142.13,nan,0.0007,996,15,142.13,2.3283064712331658e-11,3100
16000,1.0572361134109087e-05,3199,-0.4925318658351898,147.43,-2.271578788757324,0.0007,1006,15,147.43,6.6356733441352844e-09,3200
16500,1.4879822174407309e-06,3299,-0.3519636392593384,152.12,nan,0.0007,1014,16,152.12,2.3283064712331658e-11,3300
17000,2.464735757712333e-07,3399,-0.5409838557243347,156.97,nan,0.0007,1023,16,156.97,6.984919587171845e-11,3400
17500,2.0471591142268153e-06,3499,-0.5547215938568115,161.78,nan,0.0007,1032,16,161.78,1.0477378686868377e-10,3500
18000,4.89022704641684e-06,3599,-0.3607920706272125,166.65,nan,0.0007,1029,17,166.65,2.561137135703717e-10,3600
18500,-8.360218998859636e-06,3699,-0.36902478337287903,171.29,-4.320000171661377,0.0007,1010,18,171.29,6.402842700481415e-10,3700
19000,-53.779762268066406,3799,-0.6255806684494019,176.87,1.4066696166992188e-05,0.0007,993,19,176.87,9418.552734375,3800
19500,0.0005141791771166027,3899,-0.5476561784744263,180.72,-0.0009871721267700195,0.0007,978,19,180.72,1.04152127278212e-06,3900
20000,-4.004491711384617e-05,3999,-0.6199128031730652,182.64,-2.142857313156128,0.0007,964,20,182.64,4.9709343308279585e-09,4000
20500,1.8048831407213584e-05,4099,-0.5124674439430237,188.86,-0.4800001382827759,0.0007,973,21,188.86,6.286427489676782e-10,4100
21000,5.7647125686344225e-06,4199,-0.5520244240760803,192.29,nan,0.0007,982,21,192.29,3.958121053138086e-10,4200
21500,0.00010936880426015705,4299,-0.5323925018310547,197.84,-0.006479501724243164,0.0007,989,21,197.84,3.359746258979612e-08,4300
22000,-1.4281108633440454e-05,4399,-0.5557172298431396,201.37,nan,0.0007,997,22,201.37,8.614733926215479e-10,4400
22500,0.0005383482202887535,4499,-0.4682386517524719,207.22,0.03182327747344971,0.0007,1004,22,207.22,6.284332130235271e-07,4500
23000,3.1205705454340205e-05,4599,-0.6226571798324585,210.42,-5.279999732971191,0.0007,1011,22,210.42,8.288770558806391e-09,4600
23500,0.004596147686243057,4699,-0.43118610978126526,216.27,0.012852251529693604,0.0007,1013,23,216.27,4.0118175093084574e-05,4700
24000,0.0030140713788568974,4799,-0.5096797943115234,219.96,0.0037615299224853516,0.0007,1019,23,219.96,4.299495049053803e-05,4800
24500,-2.5005362033843994,4899,-0.5344292521476746,223.12,-0.5637402534484863,0.0007,1024,23,223.12,26.70465087890625,4900
25000,-5.087693214416504,4999,-0.5800554156303406,227.09,-102.04729461669922,0.0007,1009,24,227.09,507.7347717285156,5000
25500,-0.46375781297683716,5099,-0.5145220160484314,226.73,-17.264698028564453,0.0007,1015,25,226.73,2.6836209297180176,5100
