rollout/ep_len_mean,time/time_elapsed,time/fps,time/episodes,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/loss
822.17,127,1056,3904,134516,0.3341457999999997,2.0,7782,0.0001,0.003329959698021412
831.49,129,1056,3968,136956,0.32206779999999957,2.07,7934,0.0001,0.003907207865267992
851.91,132,1055,4032,140140,0.30630700000000033,2.22,8133,0.0001,0.001328286831267178
856.02,135,1053,4096,142916,0.2925657999999999,2.27,8307,0.0001,0.003829368855804205
878.4,138,1052,4160,145608,0.2792404000000003,2.49,8475,0.0001,0.003503565676510334
921.05,141,1051,4224,148724,0.2638161999999996,2.8,8670,0.0001,0.004741615615785122
945.66,144,1049,4288,151996,0.24761980000000006,3.03,8874,0.0001,0.004065045155584812
1002.48,148,1048,4352,155312,0.23120560000000057,3.42,9081,0.0001,0.014240550808608532
1023.0,151,1047,4416,158616,0.21485079999999956,3.62,9288,0.0001,0.018100444227457047
1026.21,154,1045,4480,161308,0.20152539999999997,3.65,9456,0.0001,0.01129995472729206
1006.9,157,1044,4544,163996,0.18821979999999983,3.49,9624,0.0001,0.0054179225116968155
976.44,159,1043,4608,166048,0.17806240000000018,3.29,9752,0.0001,0.005310375709086657
991.07,162,1041,4672,169372,0.16160859999999966,3.39,9960,0.0001,0.0034913760609924793
981.89,165,1039,4736,172324,0.14699620000000035,3.38,10145,0.0001,0.0022921764757484198
994.4,169,1039,4800,175700,0.1302850000000002,3.35,10356,0.0001,0.00242078909650445
972.72,171,1038,4864,178504,0.11640519999999999,3.19,10531,0.0001,0.0088622085750103
917.27,173,1037,4928,180348,0.1072774000000003,2.77,10646,0.0001,0.001892646076157689
950.93,177,1035,4992,183976,0.08931880000000048,2.97,10873,0.0001,0.006316805258393288
979.86,180,1034,5056,187084,0.07393419999999995,3.2,11067,0.0001,0.004834919702261686
1049.59,185,1032,5120,191296,0.05308480000000049,3.7,11330,0.0001,0.002915351651608944
1035.17,188,1031,5184,194288,0.03827440000000004,3.62,11517,0.0001,0.004458042327314615
1080.65,192,1030,5248,197928,0.020256399999999508,4.05,11745,0.0001,0.007213426288217306
1075.34,195,1029,5312,201380,0.01,4.11,11961,0.0001,0.004591550212353468
1108.91,199,1028,5376,204892,0.01,4.29,12180,0.0001,0.004826197400689125
1172.04,202,1027,5440,208640,0.01,5.08,12414,0.0001,0.004459983203560114
1191.84,206,1027,5504,212364,0.01,5.32,12647,0.0001,0.01008684653788805
1215.74,210,1026,5568,216596,0.01,5.57,12912,0.0001,0.002419185359030962
1206.18,214,1026,5632,220304,0.01,5.73,13143,0.0001,0.0037161686923354864
1235.71,218,1025,5696,223988,0.01,6.21,13374,0.0001,0.002519270870834589
1214.08,221,1024,5760,226856,0.01,5.92,13553,0.0001,0.00407974049448967
1219.68,225,1024,5824,230708,0.01,5.95,13794,0.0001,0.036659661680459976
1216.86,228,1023,5888,234220,0.01,6.15,14013,0.0001,0.01062345877289772
1226.27,232,1023,5952,238180,0.01,6.16,14261,0.0001,0.006768475752323866
1264.65,237,1022,6016,242468,0.01,6.58,14529,0.0001,0.01995258592069149
1224.3,240,1022,6080,246020,0.01,6.38,14751,0.0001,0.006616093683987856
1233.7,244,1021,6144,250068,0.01,6.58,15004,0.0001,0.008548615500330925
1240.74,248,1020,6208,253828,0.01,6.78,15239,0.0001,0.017946576699614525
1337.22,254,1019,6272,259372,0.01,7.98,15585,0.0001,0.012682818807661533
1340.37,258,1018,6336,263132,0.01,7.94,15820,0.0001,0.010969778522849083
1357.41,262,1017,6400,266780,0.01,8.1,16048,0.0001,0.0046159070916473866
1344.46,266,1016,6464,271200,0.01,8.59,16324,0.0001,0.004132644739001989
1382.44,271,1016,6528,276088,0.01,9.09,16630,0.0001,0.00886204931885004
1467.99,277,1015,6592,281464,0.01,9.83,16966,0.0001,0.005208243615925312
