time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/n_updates,train/learning_rate,rollout/ep_len_mean,train/policy_loss,train/entropy_loss,train/explained_variance,train/value_loss
500,100,1.0,183,2,99,0.0007,180.0,-0.005350214894860983,-1.3857742547988892,-0.01239633560180664,1.715193320706021e-05
1000,200,2.3333333333333335,218,4,199,0.0007,223.66666666666666,-0.006237034220248461,-1.3839775323867798,-0.8417384624481201,2.7515232432051562e-05
1500,300,2.5,234,6,299,0.0007,238.83333333333334,-0.005454353988170624,-1.385987639427185,-9.951279640197754,2.191531348216813e-05
2000,400,2.125,243,8,399,0.0007,220.625,-0.007076382637023926,-1.384247064590454,-0.9034672975540161,5.108455661684275e-05
2500,500,2.2,248,10,499,0.0007,224.3,-0.012029169127345085,-1.3855164051055908,-2.149214267730713,8.864954725140706e-05
3000,600,2.1538461538461537,254,11,599,0.0007,223.3846153846154,-0.0014258899027481675,-1.3862730264663696,-0.13444900512695312,2.589360292404308e-06
3500,700,1.7058823529411764,257,13,699,0.0007,204.7058823529412,0.0001570449530845508,-1.3862733840942383,-0.47616612911224365,7.057037265667532e-08
4000,800,1.6,260,15,799,0.0007,199.1,0.002069876529276371,-1.3859063386917114,-2.978241205215454,6.2005033214518335e-06
4500,900,1.6363636363636365,263,17,899,0.0007,200.8181818181818,-0.007966148667037487,-1.3858410120010376,-4.813790321350098,3.931690662284382e-05
5000,1000,1.6,267,18,999,0.0007,199.0,-0.00376358674839139,-1.3832911252975464,-0.9013105630874634,1.2293889994907659e-05
5500,1100,1.7037037037037037,268,20,1099,0.0007,203.2962962962963,0.009289780631661415,-1.3840454816818237,0.319379985332489,5.1628623623400927e-05
6000,1200,1.6551724137931034,269,22,1199,0.0007,202.27586206896552,-0.003921729512512684,-1.3838872909545898,-5.522543430328369,5.328949919203296e-05
6500,1300,1.6774193548387097,269,24,1299,0.0007,202.90322580645162,-0.06043803319334984,-1.385886311531067,-55.283573150634766,0.0019504812080413103
7000,1400,1.6470588235294117,269,25,1399,0.0007,202.5,-0.003666404401883483,-1.3852118253707886,0.3617411255836487,9.065687663678546e-06
7500,1500,1.5945945945945945,268,27,1499,0.0007,200.2972972972973,0.03278951719403267,-1.3858171701431274,-252.9918670654297,0.0013536416226997972
8000,1600,1.641025641025641,268,29,1599,0.0007,203.07692307692307,-0.0009989291429519653,-1.3847838640213013,-278.8631591796875,9.469890756008681e-07
8500,1700,1.6097560975609757,270,31,1699,0.0007,201.73170731707316,-0.015022012405097485,-1.3858215808868408,-2.0780062675476074,0.0001417323073837906
9000,1800,1.6744186046511629,271,33,1799,0.0007,205.27906976744185,0.006735986564308405,-1.3857169151306152,-0.6535815000534058,3.54661387973465e-05
9500,1900,1.7173913043478262,273,34,1899,0.0007,206.1086956521739,-0.021813416853547096,-1.3860565423965454,-0.09689962863922119,0.0002517642278689891
10000,2000,1.75,273,36,1999,0.0007,207.1875,0.02775902859866619,-1.3847119808197021,-1.64015793800354,0.0004321658634580672
10500,2100,1.7058823529411764,272,38,2099,0.0007,205.68627450980392,-0.021281994879245758,-1.385117769241333,-48.68577194213867,0.0006277636857703328
11000,2200,1.679245283018868,273,40,2199,0.0007,203.9811320754717,-0.010158098302781582,-1.385769248008728,-9.637052536010742,0.0001555507624289021
11500,2300,1.6964285714285714,273,42,2299,0.0007,204.25,-0.023427102714776993,-1.3858036994934082,-18.799386978149414,0.0003640820796135813
12000,2400,1.6551724137931034,272,44,2399,0.0007,202.5344827586207,0.01060194056481123,-1.38286554813385,-5.567539215087891,8.37441548355855e-05
12500,2500,1.6885245901639345,272,45,2499,0.0007,203.2622950819672,-0.022429218515753746,-1.3787554502487183,-17.489408493041992,0.0006185363163240254
13000,2600,1.6875,272,47,2599,0.0007,202.8125,0.020537735894322395,-1.3648160696029663,-181.74746704101562,0.0003233725146856159
13500,2700,1.6417910447761195,273,49,2699,0.0007,201.26865671641792,-0.003679866436868906,-1.2638288736343384,-78.69094848632812,8.234063716372475e-05
14000,2800,1.6231884057971016,274,51,2799,0.0007,200.14492753623188,-0.018655428662896156,-1.3818162679672241,-63.36103820800781,0.0004055951430927962
14500,2900,1.625,272,53,2899,0.0007,200.15277777777777,-0.03733939304947853,-1.2038700580596924,0.9450170397758484,0.014405145309865475
15000,3000,1.635135135135135,271,55,2999,0.0007,200.2972972972973,-0.011437183246016502,-1.3845304250717163,-21.5684871673584,0.0001779172889655456
15500,3100,1.6233766233766234,271,57,3099,0.0007,199.42857142857142,0.06765548139810562,-1.3709262609481812,-61.17559051513672,0.002945277374237776
16000,3200,1.6125,271,58,3199,0.0007,198.925,-0.011630084365606308,-1.365444540977478,-260.2676696777344,9.001683793030679e-05
16500,3300,1.5783132530120483,271,60,3299,0.0007,197.44578313253012,-0.013603846542537212,-1.371956706047058,-27.49366569519043,0.00021871279750484973
17000,3400,1.5813953488372092,271,62,3399,0.0007,197.04651162790697,0.005394537467509508,-1.3241260051727295,-10.83777141571045,7.145358540583402e-05
17500,3500,1.5617977528089888,271,64,3499,0.0007,195.8876404494382,0.0671064481139183,-1.3358443975448608,-9.199151992797852,0.0026947413571178913
18000,3600,1.6263736263736264,270,66,3599,0.0007,196.4945054945055,-0.05243455991148949,-1.1627801656723022,-10.484580039978027,0.003599888877943158
18500,3700,1.6774193548387097,271,68,3699,0.0007,196.7311827956989,0.0005519947153516114,-0.7796465158462524,-0.12369644641876221,0.0006983439088799059
