train/value_loss,time/fps,train/entropy_loss,train/learning_rate,time/time_elapsed,train/policy_loss,time/iterations,train/explained_variance,time/total_timesteps,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean
5.916598796844482,3028,-0.5948375463485718,0.0007,0,1.4185645580291748,100,0.0994214415550232,500,34.714285714285715,99,34.714285714285715
122.8061752319336,3066,-0.5659546256065369,0.0007,0,-4.443516731262207,200,-0.14307665824890137,1000,29.205882352941178,199,29.205882352941178
11.210752487182617,3088,-0.4233244061470032,0.0007,0,3.1059961318969727,300,-0.31245434284210205,1500,25.894736842105264,299,25.894736842105264
5.650235176086426,3119,-0.4014567732810974,0.0007,0,2.673017978668213,400,0.7738573551177979,2000,25.623376623376622,399,25.623376623376622
5.85357666015625,3133,-0.6012989282608032,0.0007,0,1.1261428594589233,500,0.014139354228973389,2500,26.11578947368421,499,26.11578947368421
5.666199684143066,3126,-0.6502820253372192,0.0007,0,1.0154930353164673,600,-0.003786921501159668,3000,26.16,599,26.16
5.02253532409668,3087,-0.6089568734169006,0.0007,1,0.8970199823379517,700,-0.0034188032150268555,3500,26.89,699,26.89
4.48360013961792,3082,-0.5785242915153503,0.0007,1,1.06903076171875,800,0.02835744619369507,4000,29.4,799,29.4
4.059830188751221,3079,-0.560867190361023,0.0007,1,1.2123997211456299,900,-0.013707399368286133,4500,31.84,899,31.84
3.6480698585510254,3095,-0.6205269694328308,0.0007,1,0.9728624224662781,1000,-0.0025647878646850586,5000,33.54,999,33.54
3.1768767833709717,3112,-0.5787054896354675,0.0007,1,0.7647696733474731,1100,-0.0018976926803588867,5500,36.56,1099,36.56
467.07061767578125,3121,-0.5626602172851562,0.0007,1,-1.9107730388641357,1200,-7.05718994140625e-05,6000,39.48,1199,39.48
2.3076908588409424,3124,-0.6396547555923462,0.0007,2,0.7095476984977722,1300,-0.0008380413055419922,6500,41.8,1299,41.8
1264.272705078125,3127,-0.6383839845657349,0.0007,2,-12.306503295898438,1400,8.64267349243164e-06,7000,47.45,1399,47.45
1.5480682849884033,3127,-0.6412240862846375,0.0007,2,0.6335116028785706,1500,0.0003281831741333008,7500,50.53,1499,50.53
1.2206443548202515,3126,-0.5737029314041138,0.0007,2,0.595569372177124,1600,0.0,8000,54.86,1599,54.86
0.9372312426567078,3130,-0.49599966406822205,0.0007,2,0.6955456137657166,1700,0.0002065896987915039,8500,59.16,1699,59.16
0.7003359198570251,3126,-0.6515101194381714,0.0007,2,0.44548600912094116,1800,2.300739288330078e-05,9000,62.32,1799,62.32
0.48212766647338867,3118,-0.35521867871284485,0.0007,3,0.3464987874031067,1900,-0.0002511739730834961,9500,64.84,1899,64.84
0.3044353425502777,3102,-0.5459427833557129,0.0007,3,0.3470943570137024,2000,4.64320182800293e-05,10000,69.51,1999,69.51
0.16256868839263916,3101,-0.4786995053291321,0.0007,3,0.2755511701107025,2100,-0.00010132789611816406,10500,74.21,2099,74.21
0.06521324813365936,3104,-0.5797146558761597,0.0007,3,0.1148248091340065,2200,-2.014636993408203e-05,11000,78.93,2199,78.93
0.013455763459205627,3105,-0.5639606714248657,0.0007,3,0.057170987129211426,2300,8.255243301391602e-05,11500,85.14,2299,85.14
0.00017078444943763316,3109,-0.5575966835021973,0.0007,3,0.0069198706187307835,2400,-0.003142714500427246,12000,89.45,2399,89.45
1.289299689233303e-07,3112,-0.5520583391189575,0.0007,4,0.0001851483975769952,2500,-0.004685878753662109,12500,94.27,2499,94.27
1.0611256584525108e-07,3095,-0.4768977165222168,0.0007,4,0.00011746380187105387,2600,0.0004956722259521484,13000,97.19,2599,97.19
6.984919587171845e-11,3098,-0.5444661378860474,0.0007,4,1.8544724866842444e-07,2700,nan,13500,101.75,2699,101.75
2.561137135703717e-10,3101,-0.5352550745010376,0.0007,4,-2.746175482570834e-07,2800,nan,14000,106.43,2799,106.43
0.0,3104,-0.5771116018295288,0.0007,4,-1.835700516039651e-07,2900,nan,14500,111.28,2899,111.28
8.406804226979148e-06,3107,-0.3694017827510834,0.0007,4,0.002268753945827484,3000,0.02098977565765381,15000,116.73,2999,116.73
1.979060526569043e-10,3111,-0.33099105954170227,0.0007,4,-2.0386737560329493e-06,3100,nan,15500,121.32,3099,121.32
1.2869713827967644e-07,3113,-0.5566455125808716,0.0007,5,0.00012444205640349537,3200,0.024587512016296387,16000,125.52,3199,125.52
8.149072389107559e-11,3116,-0.4623532295227051,0.0007,5,1.4629441125180165e-07,3300,nan,16500,129.97,3299,129.97
