train/policy_loss,train/explained_variance,time/fps,train/entropy_loss,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/value_loss,time/iterations,time/total_timesteps,train/n_updates,train/learning_rate
-3.291367292404175,-0.07346534729003906,289,-0.785792350769043,1,123.0,-452.90699700000005,24.991384506225586,100,500,99,0.0007
-4.182948112487793,-0.022536277770996094,301,-0.8526003956794739,3,115.75,-456.83833174999995,8.512462615966797,200,1000,199,0.0007
-32.28594207763672,-1.3470649719238281e-05,309,-1.3549810647964478,4,114.0,-443.28141116666666,526.4387817382812,300,1500,299,0.0007
-40.058624267578125,3.4570693969726562e-06,313,-1.3256642818450928,6,119.6,-452.49512186666664,844.1302490234375,400,2000,399,0.0007
-3.1605820655822754,-0.015602350234985352,323,-0.7105115056037903,7,124.45,-507.79352865,52.67335891723633,500,2500,499,0.0007
-13.499015808105469,-0.0017740726470947266,356,-1.114671230316162,8,122.58333333333333,-488.3188419166666,95.97589111328125,600,3000,599,0.0007
-17.459474563598633,-0.0003917217254638672,354,-1.338792085647583,9,118.62068965517241,-431.7535004827586,138.0167694091797,700,3500,699,0.0007
-9.610697746276855,-0.0036171674728393555,355,-0.9201970100402832,11,122.78125,-424.47410384374996,50.160499572753906,800,4000,799,0.0007
6.672599792480469,-0.4019780158996582,356,-1.1357905864715576,12,125.57142857142857,-396.8737931714286,25.560970306396484,900,4500,899,0.0007
1.1977016925811768,-0.13238859176635742,357,-0.9471399188041687,13,123.675,-366.894715575,3.6231541633605957,1000,5000,999,0.0007
-2.318956136703491,0.05739039182662964,376,-0.8082977533340454,14,123.70454545454545,-338.21635093181817,11.579659461975098,1100,5500,1099,0.0007
-4.668381690979004,0.35535550117492676,394,-0.9002764821052551,15,126.26086956521739,-336.5351237173913,30.554195404052734,1200,6000,1199,0.0007
-1.5777325630187988,0.11608707904815674,410,-0.9502919912338257,15,128.46,-332.36722991999994,4.178387641906738,1300,6500,1299,0.0007
1.576017141342163,-0.44140028953552246,425,-0.8268458247184753,16,131.39622641509433,-320.94927299999995,7.628839015960693,1400,7000,1399,0.0007
-1.478652834892273,0.6393475532531738,439,-0.2666195333003998,17,131.39622641509433,-320.94927299999995,9.787522315979004,1500,7500,1499,0.0007
-8.223922729492188,0.0188596248626709,452,-0.8577449917793274,17,143.72727272727272,-306.3348595636363,38.142173767089844,1600,8000,1599,0.0007
0.8043929934501648,-0.3835146427154541,445,-0.9167798161506653,19,146.10344827586206,-295.5656856034483,3.652569532394409,1700,8500,1699,0.0007
3.0953469276428223,0.17246884107589722,439,-0.8996434211730957,20,146.27868852459017,-282.17047221311475,61.210533142089844,1800,9000,1799,0.0007
19.57859992980957,0.11046618223190308,435,-1.0994529724121094,21,148.44444444444446,-274.25650196825404,127.54168701171875,1900,9500,1899,0.0007
13.517721176147461,-0.2523277997970581,431,-1.1749733686447144,23,154.0625,-266.71767349999993,108.49041748046875,2000,10000,1999,0.0007
-1.5788096189498901,0.4500882625579834,440,-0.6998717188835144,23,159.6153846153846,-263.1394460307692,26.868335723876953,2100,10500,2099,0.0007
2.363128423690796,0.568031370639801,436,-0.8045040965080261,25,163.37313432835822,-255.1844582686567,9.2289400100708,2200,11000,2199,0.0007
-2.066617250442505,0.6372157335281372,432,-0.36258846521377563,26,165.2608695652174,-247.8977214927536,6.2861714363098145,2300,11500,2299,0.0007
2.2745208740234375,-0.24570810794830322,439,-0.7257627844810486,27,165.59722222222223,-239.63490941666663,35.7014274597168,2400,12000,2399,0.0007
1.4004230499267578,0.36818253993988037,446,-0.09997119009494781,27,168.82432432432432,-231.56654758108104,6016.25390625,2500,12500,2499,0.0007
-0.07339011132717133,0.025343716144561768,453,-1.073429822921753,28,168.37333333333333,-230.61313529333327,0.028688248246908188,2600,13000,2599,0.0007
-8.669492721557617,-0.17595112323760986,460,-0.3295857012271881,29,176.03947368421052,-224.34285056578943,218.19564819335938,2700,13500,2699,0.0007
-6.098710536956787,-0.18730580806732178,466,-0.7553218603134155,30,175.2405063291139,-218.4928867974683,69.76869201660156,2800,14000,2799,0.0007
2.404468059539795,0.6124123334884644,472,-0.7554820775985718,30,174.65853658536585,-212.0903079634146,16.467426300048828,2900,14500,2899,0.0007
0.39437881112098694,0.9748433232307434,478,-0.8809491991996765,31,177.38095238095238,-207.39595635714284,0.1813807189464569,3000,15000,2999,0.0007
-4.476493835449219,0.05187898874282837,473,-0.652435302734375,32,179.6627906976744,-203.53636947674414,135.27499389648438,3100,15500,3099,0.0007
0.005762253422290087,-0.057791709899902344,478,-0.31135374307632446,33,179.11494252873564,-203.06703504597698,0.01139727421104908,3200,16000,3199,0.0007
0.02647583559155464,-4.681527137756348,483,-0.02481110580265522,34,183.17777777777778,-193.35222742222217,91.70128631591797,3300,16500,3299,0.0007
-0.25250405073165894,-0.04565560817718506,488,-0.1651783436536789,34,182.04347826086956,-192.99558699999994,0.1632409393787384,3400,17000,3399,0.0007
0.03920663520693779,0.9262542128562927,487,-1.0220191478729248,35,182.01041666666666,-181.75211816666663,0.24070365726947784,3500,17500,3499,0.0007
1.7415218353271484,-1.3201816082000732,491,-0.5678605437278748,36,181.05050505050505,-176.5379917171717,31.680078506469727,3600,18000,3599,0.0007
-0.5056183338165283,0.9189791679382324,496,-0.9166975021362305,37,182.08,-171.03094843999995,0.6424818634986877,3700,18500,3699,0.0007
5.07381010055542,0.35868316888809204,501,-0.5589197874069214,37,185.42,-163.47332199999994,90.39778900146484,3800,19000,3799,0.0007
