rollout/ep_len_mean,time/time_elapsed,train/n_updates,time/total_timesteps,rollout/ep_rew_mean,train/explained_variance,train/value_loss,time/iterations,time/fps,train/policy_loss,train/entropy_loss,train/learning_rate
925.375,3,99,2000,2.625,-54.201839447021484,0.0001653178915148601,100,622,-0.009004883468151093,-1.3862361907958984,0.0007
822.0,6,199,4000,1.8421052631578947,0.04501199722290039,0.0036419187672436237,200,653,-0.049560632556676865,-1.3862298727035522,0.0007
812.5666666666667,8,299,6000,1.8,0.010355770587921143,0.24171419441699982,300,673,0.3442765772342682,-1.3856385946273804,0.0007
806.9268292682926,11,399,8000,1.7560975609756098,0.9356064200401306,0.00012526194041129202,400,682,-0.00795917958021164,-1.3803962469100952,0.0007
782.1818181818181,14,499,10000,1.6,-0.555762529373169,0.00019625954155344516,500,681,0.0015703480457887053,-1.3840038776397705,0.0007
772.5223880597015,17,599,12000,1.537313432835821,0.23239046335220337,0.05823748931288719,600,685,0.06988255679607391,-1.3822685480117798,0.0007
773.7142857142857,20,699,14000,1.5454545454545454,0.33636510372161865,0.0034384236205369234,700,692,-0.03761032223701477,-1.3845595121383667,0.0007
773.1777777777778,23,799,16000,1.5444444444444445,-4.951042175292969,0.0001584312121849507,800,690,-0.004138601012527943,-1.3856006860733032,0.0007
745.55,26,899,18000,1.39,0.4826897382736206,0.10117675364017487,900,689,0.19885729253292084,-1.3840917348861694,0.0007
747.42,29,999,20000,1.39,0.2752985954284668,0.003003225428983569,1000,688,-0.004245186690241098,-1.3855985403060913,0.0007
749.02,31,1099,22000,1.4,0.5768860578536987,0.08167170733213425,1100,690,0.05419587716460228,-1.3621636629104614,0.0007
742.7,34,1199,24000,1.34,0.48615068197250366,0.00025703656137920916,1200,691,-0.012850433588027954,-1.3836253881454468,0.0007
725.24,37,1299,26000,1.25,0.8213937282562256,0.027560342103242874,1300,692,-0.11620143800973892,-1.3596382141113281,0.0007
736.28,40,1399,28000,1.31,0.19126218557357788,0.0006059451261535287,1400,694,-0.010329932905733585,-1.384536623954773,0.0007
725.67,43,1499,30000,1.24,0.4260667562484741,0.009299655444920063,1500,695,-0.03362971171736717,-1.3620308637619019,0.0007
727.69,45,1599,32000,1.24,0.9123213291168213,0.0003109947720076889,1600,700,-0.006557819899171591,-1.3333872556686401,0.0007
736.19,48,1699,34000,1.32,0.9599283933639526,0.009518640115857124,1700,704,-0.04459894448518753,-1.2887381315231323,0.0007
759.41,50,1799,36000,1.48,-0.29695963859558105,0.12737901508808136,1800,708,0.04038618132472038,-1.3750394582748413,0.0007
770.9,53,1899,38000,1.55,0.975310742855072,0.005395517684519291,1900,712,0.0206918865442276,-1.3431428670883179,0.0007
774.56,56,1999,40000,1.63,0.9101229310035706,0.007278047502040863,2000,709,-0.030574923381209373,-1.3442246913909912,0.0007
798.36,59,2099,42000,1.82,0.39097321033477783,0.04051532223820686,2100,700,0.18781709671020508,-1.3683967590332031,0.0007
825.3,63,2199,44000,1.97,0.9109695553779602,0.0016238034004345536,2200,693,0.008694463409483433,-1.3762201070785522,0.0007
831.86,66,2299,46000,2.03,0.07904052734375,0.06393209844827652,2300,692,0.12808386981487274,-1.350915789604187,0.0007
848.93,69,2399,48000,2.17,0.9627505540847778,0.01139535941183567,2400,692,0.04534318670630455,-1.3551167249679565,0.0007
857.68,72,2499,50000,2.25,0.34129655361175537,0.07043226063251495,2500,692,0.09351502358913422,-1.3731874227523804,0.0007
861.64,75,2599,52000,2.28,0.9802806973457336,0.0035114933270961046,2600,692,0.036574769765138626,-1.3364293575286865,0.0007
875.94,77,2699,54000,2.38,0.9933814406394958,0.0012824616860598326,2700,696,-0.015784069895744324,-1.3144569396972656,0.0007
883.74,80,2799,56000,2.45,0.9220991730690002,0.022489868104457855,2800,699,0.04102959856390953,-1.3031432628631592,0.0007
861.66,82,2899,58000,2.28,0.9677789807319641,0.004192543216049671,2900,701,-0.022492868825793266,-1.3246225118637085,0.0007
872.32,85,2999,60000,2.31,0.9665324091911316,0.00421443535014987,3000,704,0.01785304583609104,-1.3263850212097168,0.0007
888.33,87,3099,62000,2.43,0.6724753379821777,0.005344559904187918,3100,707,-0.048141732811927795,-1.3816585540771484,0.0007
873.14,90,3199,64000,2.37,0.8444616198539734,0.024711458012461662,3200,709,0.06686534732580185,-1.3213781118392944,0.0007
889.4,92,3299,66000,2.47,0.9552429914474487,0.008809050545096397,3300,712,0.040112730115652084,-1.3727039098739624,0.0007
880.59,95,3399,68000,2.37,0.9189504384994507,0.027402406558394432,3400,714,-0.11768481880426407,-1.3214536905288696,0.0007
885.0,97,3499,70000,2.39,-403.2508544921875,0.0037941329646855593,3500,715,-0.03961953893303871,-1.3838356733322144,0.0007
866.55,100,3599,72000,2.28,0.8254139423370361,0.03843420371413231,3600,716,0.033593643456697464,-1.3169126510620117,0.0007
871.9,103,3699,74000,2.36,0.9041416049003601,0.020290205255150795,3700,717,-0.04925600811839104,-1.3702996969223022,0.0007
883.61,105,3799,76000,2.46,0.9485557675361633,0.004568406846374273,3800,718,0.03285985067486763,-1.3806990385055542,0.0007
879.3,108,3899,78000,2.47,0.9964573979377747,0.0007060521165840328,3900,719,0.016192128881812096,-1.3742704391479492,0.0007
869.63,111,3999,80000,2.41,0.9037182927131653,0.007608084473758936,4000,719,-0.024532539770007133,-1.3822146654129028,0.0007
840.67,114,4099,82000,2.14,0.9909384250640869,0.0037649727892130613,4100,719,-0.03774317353963852,-1.3553266525268555,0.0007
863.8,116,4199,84000,2.32,0.7586207389831543,0.0016850795364007354,4200,720,-0.006041036453098059,-1.3838980197906494,0.0007
852.37,119,4299,86000,2.27,0.974527895450592,0.00416609039530158,4300,720,-0.0043046968057751656,-1.3835886716842651,0.0007
861.15,122,4399,88000,2.37,0.08625149726867676,0.001194143551401794,4400,720,0.010606485418975353,-1.382887840270996,0.0007
854.13,124,4499,90000,2.32,0.982858419418335,0.0030148739460855722,4500,720,-0.011358998715877533,-1.2634061574935913,0.0007
903.92,127,4599,92000,2.66,0.6374833583831787,0.03367847949266434,4600,720,0.0826268196105957,-1.3420761823654175,0.0007
925.96,130,4699,94000,2.79,-1.2207415103912354,0.001026655430905521,4700,719,0.014426219277083874,-1.3772293329238892,0.0007
919.76,133,4799,96000,2.73,0.8769792318344116,0.017470404505729675,4800,718,0.011473080143332481,-1.3153690099716187,0.0007
941.9,136,4899,98000,2.82,0.5433536767959595,0.007134043611586094,4900,718,0.040688540786504745,-1.3590797185897827,0.0007
937.44,139,4999,100000,2.77,0.9501357078552246,0.00969427078962326,5000,718,0.06787707656621933,-1.3201416730880737,0.0007
958.98,141,5099,102000,2.91,0.6688092947006226,0.007346716709434986,5100,718,0.023843053728342056,-1.3388481140136719,0.0007
973.26,144,5199,104000,3.03,0.7861142754554749,0.008734136819839478,5200,718,0.04488028585910797,-1.3459091186523438,0.0007
986.49,147,5299,106000,3.12,0.7855948209762573,0.03214762359857559,5300,717,0.0922837033867836,-1.3520835638046265,0.0007
992.52,150,5399,108000,3.16,0.9841431975364685,0.004936624318361282,5400,717,-0.019131522625684738,-1.3483781814575195,0.0007
975.88,153,5499,110000,3.02,0.5237895250320435,0.042957648634910583,5500,717,-0.16000880300998688,-1.3627429008483887,0.0007
1026.49,156,5599,112000,3.43,0.9186514616012573,0.03728794306516647,5600,717,-0.00475222198292613,-1.2623817920684814,0.0007
1027.13,158,5699,114000,3.46,0.8956853747367859,0.018941715359687805,5700,718,0.08029568195343018,-1.3166762590408325,0.0007
1031.27,161,5799,116000,3.48,0.9945178031921387,0.0014874640619382262,5800,719,-0.0164183359593153,-1.3029741048812866,0.0007
1022.23,163,5899,118000,3.44,0.7986102104187012,0.06277620047330856,5900,719,0.14907006919384003,-1.3328734636306763,0.0007
1045.05,166,5999,120000,3.61,0.5593545436859131,0.04801688715815544,6000,720,-0.038307495415210724,-0.8698251843452454,0.0007
1011.73,169,6099,122000,3.41,0.8236713409423828,0.0029896225314587355,6100,720,0.01130152028053999,-1.2284313440322876,0.0007
991.41,172,6199,124000,3.3,0.9449381232261658,0.008162231184542179,6200,720,0.04967473819851875,-1.2672202587127686,0.0007
966.69,175,6299,126000,3.13,0.6576135158538818,0.09254692494869232,6300,719,0.2230217009782791,-1.3682304620742798,0.0007
970.95,177,6399,128000,3.16,0.8096152544021606,0.014119154773652554,6400,720,-0.03002830408513546,-1.3234745264053345,0.0007
954.44,180,6499,130000,3.0,0.9963998198509216,0.0009251779993064702,6500,720,0.030232980847358704,-1.3322458267211914,0.0007
913.02,183,6599,132000,2.63,0.9581931233406067,0.011022328399121761,6600,721,0.058486707508563995,-1.3045352697372437,0.0007
