time/fps,train/learning_rate,time/episodes,train/n_updates,rollout/ep_len_mean,rollout/exploration_rate,time/total_timesteps,train/loss,rollout/ep_rew_mean,time/time_elapsed
1784,0.001,292,51165,658.47,0.01,204761,0.12200972437858582,168.44295091999996,114
1769,0.001,296,51676,646.77,0.01,206805,0.08271049708127975,169.28525050000005,116
1772,0.001,300,52298,639.43,0.01,209296,1.3500598669052124,167.94026103,118
1774,0.001,304,52684,631.97,0.01,210838,0.2095002979040146,162.83129707,118
1777,0.001,308,53090,627.84,0.01,212462,0.10706774145364761,159.79367143,119
1779,0.001,312,53450,622.34,0.01,213902,1.3548085689544678,165.34591315999998,120
1781,0.001,316,53807,596.61,0.01,215329,0.12826034426689148,174.10657875,120
1783,0.001,320,54183,580.36,0.01,216835,0.26389119029045105,178.47539264000002,121
1785,0.001,324,54595,569.95,0.01,218481,0.400174081325531,177.48544139,122
1787,0.001,328,54937,551.14,0.01,219850,0.09795631468296051,176.63968887,122
1789,0.001,332,55341,536.87,0.01,221466,0.13249512016773224,179.71529606999997,123
1778,0.001,336,55730,520.36,0.01,223021,0.3059196472167969,179.97001102,125
1780,0.001,340,56055,505.0,0.01,224324,0.44774308800697327,175.08601275,125
1766,0.001,344,56536,494.5,0.01,226245,0.20760482549667358,177.03852547000002,128
1755,0.001,348,56959,481.02,0.01,227938,0.10974858701229095,180.30217544000004,129
1757,0.001,352,57414,477.19,0.01,229759,1.8438243865966797,180.07911933,130
1759,0.001,356,57831,465.66,0.01,231428,0.15541452169418335,181.30164088,131
1762,0.001,360,58279,456.49,0.01,233219,0.12597496807575226,180.14244164,132
1764,0.001,364,58771,453.38,0.01,235188,0.19043001532554626,180.35566114000002,133
1765,0.001,368,59305,453.38,0.01,237323,1.3912317752838135,178.81119685,134
1768,0.001,372,59871,453.07,0.01,239585,1.7707545757293701,178.95278155000003,135
1750,0.001,376,60564,458.4,0.01,242359,1.371524691581726,178.21230369,138
1734,0.001,380,61196,458.35,0.01,244886,0.07696980237960815,176.42515867000003,141
1718,0.001,384,61869,460.89,0.01,247580,0.08208870142698288,176.07395056,144
1698,0.001,388,62764,480.34,0.01,251157,0.10746777802705765,177.30526443000002,147
1681,0.001,392,63551,495.45,0.01,254306,0.09471055865287781,179.88648297,151
1685,0.001,396,64365,507.58,0.01,257563,0.11241774260997772,178.35822430999997,152
1688,0.001,400,64888,503.57,0.01,259653,0.08341275900602341,181.88271455000003,153
1690,0.001,404,65238,502.17,0.01,261055,0.13278606534004211,182.90970786999998,154
1693,0.001,408,65749,506.35,0.01,263097,0.14510412514209747,185.55649735999995,155
1696,0.001,412,66305,514.21,0.01,265323,0.44186946749687195,187.09583159000005,156
1681,0.001,416,67001,527.79,0.01,268108,0.11287391185760498,186.88758430000001,159
1670,0.001,420,67520,533.49,0.01,270184,0.5988185405731201,180.57759129000004,161
1673,0.001,424,68094,539.98,0.01,272479,0.345513254404068,179.1316213,162
1662,0.001,428,68653,548.65,0.01,274715,0.2218952775001526,181.62731081000004,165
1653,0.001,432,69152,552.43,0.01,276709,0.707675576210022,177.57193365999998,167
1646,0.001,436,69749,560.76,0.01,279097,3.072160482406616,178.41585217,169
1648,0.001,440,70307,570.05,0.01,281329,0.2050246000289917,182.68091209,170
1652,0.001,444,70997,578.44,0.01,284089,0.22859062254428864,181.27488274000004,171
1654,0.001,448,71508,581.98,0.01,286136,0.16972218453884125,180.42502558,172
1658,0.001,452,72153,589.54,0.01,288713,0.2803407311439514,179.48496446000001,174
1661,0.001,456,72847,600.62,0.01,291490,0.14611691236495972,178.50327779000003,175
1664,0.001,460,73436,606.29,0.01,293848,1.3981800079345703,179.59160219000006,176
1667,0.001,464,74194,616.92,0.01,296880,0.8709759712219238,176.77657409,178
1671,0.001,468,75102,631.86,0.01,300509,0.20620128512382507,172.20535463999997,179
1674,0.001,472,75812,637.67,0.01,303352,0.16573967039585114,168.84826850000002,181
1677,0.001,476,76398,633.37,0.01,305696,0.5961479544639587,168.06505158,182
1680,0.001,480,76916,628.82,0.01,307768,0.10123209655284882,168.34055897,183
1683,0.001,484,77585,628.63,0.01,310443,0.13805724680423737,167.07686762,184
1667,0.001,488,78465,628.05,0.01,313962,1.5516669750213623,163.83068709,188
1653,0.001,492,79282,629.24,0.01,317230,0.08126357197761536,159.24111071000002,191
1657,0.001,496,80066,628.03,0.01,320366,0.5105125904083252,159.18199747999998,193
1661,0.001,500,80878,639.63,0.01,323616,0.06260575354099274,157.26022938000003,194
1665,0.001,504,81755,660.69,0.01,327124,0.1286143809556961,156.37737198000002,196
1668,0.001,508,82505,670.27,0.01,330124,0.12181732058525085,153.41918883,197
1671,0.001,512,83250,677.8,0.01,333103,0.11967505514621735,150.31286088,199
1675,0.001,516,84159,686.3,0.01,336738,0.12319391965866089,147.28039180999997,200
1679,0.001,520,85060,701.57,0.01,340341,1.499963402748108,147.10875448999997,202
1682,0.001,524,85889,711.78,0.01,343657,0.0740923136472702,147.77503622,204
1685,0.001,528,86664,720.44,0.01,346759,0.6627830266952515,147.40693197000002,205
1670,0.001,532,87572,736.83,0.01,350392,0.20731842517852783,145.67980018,209
1660,0.001,536,88277,741.13,0.01,353210,0.09507671743631363,145.09177935,212
1647,0.001,540,89138,753.25,0.01,356654,0.18265089392662048,141.75147147,216
1635,0.001,544,89991,759.78,0.01,360067,0.09141934663057327,139.53048047,220
1623,0.001,548,90798,771.58,0.01,363294,0.0802881196141243,137.68452183,223
1613,0.001,552,91534,775.27,0.01,366240,0.12028489261865616,137.0374345,226
1603,0.001,556,92334,779.5,0.01,369440,0.5585816502571106,137.04713798999998,230
1593,0.001,560,93064,785.12,0.01,372360,0.8734344840049744,137.97028731999998,233
1584,0.001,564,93795,784.02,0.01,375282,0.07270704954862595,137.78623872,236
1574,0.001,568,94665,782.55,0.01,378764,0.0619317926466465,140.5281714,240
1565,0.001,572,95457,785.78,0.01,381930,0.8895509839057922,142.57205886,243
1555,0.001,576,96288,795.59,0.01,385255,1.1545003652572632,141.58595095,247
1559,0.001,580,97066,805.97,0.01,388365,0.09331615269184113,140.00117643,249
1561,0.001,584,97715,805.21,0.01,390964,1.5688774585723877,140.84429413,250
1554,0.001,588,98412,797.87,0.01,393749,0.13205306231975555,144.51200557,253
1557,0.001,592,99335,802.11,0.01,397441,0.15586036443710327,146.06349354,255
1561,0.001,596,100103,801.48,0.01,400514,0.07252078503370285,149.24695171999997,256
1564,0.001,600,100900,800.87,0.01,403703,0.1347891241312027,149.01142772,258
1555,0.001,604,101722,798.67,0.01,406991,0.12364540249109268,150.78834522,261
1547,0.001,608,102507,800.05,0.01,410129,0.9335650205612183,151.67562755999998,265
1538,0.001,612,103348,803.91,0.01,413494,0.2807547152042389,151.02920207,268
1530,0.001,616,104206,801.9,0.01,416928,0.20359770953655243,151.74121228,272
1532,0.001,620,104864,792.16,0.01,419557,0.1285819262266159,155.59878080000001,273
1535,0.001,624,105603,788.58,0.01,422515,0.16526994109153748,156.01251923,275
1538,0.001,628,106376,788.46,0.01,425605,0.2793797254562378,156.09543541,276
1540,0.001,632,106938,774.61,0.01,427853,0.6749428510665894,160.99461823000001,277
1543,0.001,636,107472,767.82,0.01,429992,0.10437531769275665,159.24023866,278
1545,0.001,640,108086,757.94,0.01,432448,0.09269992262125015,164.5073257,279
1547,0.001,644,108609,744.72,0.01,434539,0.756270170211792,168.41320267,280
1550,0.001,648,109393,743.79,0.01,437673,0.07026343047618866,167.78488978999994,282
1552,0.001,652,109875,733.63,0.01,439603,0.15580739080905914,166.7926548,283
1553,0.001,656,110359,720.97,0.01,441537,0.19617316126823425,163.01189471,284
1549,0.001,660,110787,708.91,0.01,443251,0.12234404683113098,159.67420775,286
1550,0.001,664,111123,693.13,0.01,444595,0.16488924622535706,154.24917027,286
1546,0.001,668,111572,676.25,0.01,446389,0.10903184115886688,157.93380488,288
1544,0.001,672,112122,666.61,0.01,448591,1.8967951536178589,157.61728684000002,290
1546,0.001,676,112735,657.88,0.01,451043,2.1984751224517822,160.62026286,291
1548,0.001,680,113312,649.86,0.01,453351,0.1591646820306778,162.66606642,292
1550,0.001,684,113800,643.39,0.01,455303,0.12620683014392853,160.21015898999997,293
1544,0.001,688,114406,639.78,0.01,457727,0.11857233196496964,159.96617667,296
1537,0.001,692,115197,634.48,0.01,460889,0.8902905583381653,160.72974129,299
1532,0.001,696,115741,625.54,0.01,463068,0.6311365962028503,162.80923742000002,302
1535,0.001,700,116522,624.89,0.01,466192,0.2273443192243576,162.74308113,303
1537,0.001,704,117193,618.85,0.01,468876,0.18592703342437744,165.07479637,304
1539,0.001,708,117902,615.83,0.01,471712,0.4247596859931946,164.42157211999998,306
1542,0.001,712,118710,614.5,0.01,474944,0.4322666525840759,164.63247525999998,307
1545,0.001,716,119651,617.8,0.01,478708,0.10237692296504974,161.15576048,309
1548,0.001,720,120542,627.15,0.01,482272,0.08321720361709595,159.15014228,311
1541,0.001,724,121331,629.1,0.01,485425,0.4915159046649933,158.61145697,314
1535,0.001,728,122011,625.41,0.01,488146,0.08671459555625916,159.94555408,317
1537,0.001,732,122750,632.49,0.01,491102,1.6259785890579224,156.35736401999998,319
1540,0.001,736,123473,640.04,0.01,493996,0.12114288657903671,157.061376,320
1542,0.001,740,124224,645.52,0.01,497000,0.09840475767850876,154.39236913000002,322
1545,0.001,744,125071,658.49,0.01,500388,0.0949651226401329,148.95398678999996,323
1547,0.001,748,125822,657.19,0.01,503392,0.09554347395896912,148.83846076,325
1550,0.001,752,126582,668.29,0.01,506432,0.13594625890254974,148.50412973,326
1552,0.001,756,127239,675.21,0.01,509058,0.34668681025505066,150.28784523000002,327
1546,0.001,760,127973,687.42,0.01,511993,0.09369444847106934,152.33564245,331
1539,0.001,764,128731,704.31,0.01,515026,0.059564970433712006,158.10362384999996,334
1532,0.001,768,129596,720.98,0.01,518487,0.41863080859184265,153.29945562,338
1525,0.001,772,130389,730.66,0.01,521657,0.1438349336385727,150.08315327,341
1520,0.001,776,131009,730.97,0.01,524140,0.38901716470718384,145.14355996999998,344
1516,0.001,780,131586,730.96,0.01,526447,0.2145710587501526,139.10221489999998,347
1518,0.001,784,132198,735.9,0.01,528893,1.9043529033660889,141.31827142,348
1520,0.001,788,132949,741.73,0.01,531900,0.49826696515083313,142.28254613000001,349
1522,0.001,792,133545,733.92,0.01,534281,0.10562190413475037,141.15970103,350
1524,0.001,796,134104,734.51,0.01,536519,0.4456562399864197,139.36838068,352
1526,0.001,800,134858,733.42,0.01,539534,0.13602837920188904,139.96579317999996,353
1528,0.001,804,135549,734.23,0.01,542299,0.27464500069618225,134.53744048000001,354
1529,0.001,808,135990,723.49,0.01,544061,0.1297484189271927,137.66283718000003,355
1531,0.001,812,136566,714.21,0.01,546365,0.46730154752731323,141.73402383,356
1533,0.001,816,137299,705.91,0.01,549299,0.13021710515022278,145.16378907,358
1535,0.001,820,137795,690.1,0.01,551282,0.1505604386329651,148.48051832,359
1537,0.001,824,138477,685.85,0.01,554010,0.37073013186454773,143.22705553000003,360
1539,0.001,828,138971,678.4,0.01,555986,0.5295177102088928,139.26107596999998,361
1541,0.001,832,139694,677.77,0.01,558879,0.1559101641178131,133.83963336,362
1543,0.001,836,140347,674.93,0.01,561489,0.13040383160114288,129.33801011,363
1545,0.001,840,140971,669.85,0.01,563985,0.0829276368021965,123.49580511999999,365
1547,0.001,844,141768,667.88,0.01,567176,0.15570031106472015,124.09616407,366
1549,0.001,848,142652,673.18,0.01,570710,0.11119648069143295,121.73134498000002,368
1552,0.001,852,143453,674.81,0.01,573913,0.10276684910058975,122.72519162,369
1554,0.001,856,144212,678.93,0.01,576951,0.13817498087882996,121.73032551,371
1557,0.001,860,145104,685.25,0.01,580518,0.060788579285144806,117.60495574000001,372
1559,0.001,864,145966,689.39,0.01,583965,0.07835381478071213,114.96962493000002,374
1561,0.001,868,146672,683.02,0.01,586789,0.08950050175189972,115.47014134000001,375
1557,0.001,872,147235,673.84,0.01,589041,0.04749001935124397,118.77712501999999,378
1550,0.001,876,148106,683.87,0.01,592527,0.1390807032585144,119.77770564999999,382
1552,0.001,880,148706,684.78,0.01,594925,0.6158472895622253,126.33534319999998,383
1554,0.001,884,149538,693.6,0.01,598253,0.3495384454727173,123.87753733,384
1556,0.001,888,150245,691.83,0.01,601083,0.07148883491754532,125.62514813999998,386
1557,0.001,892,150943,695.95,0.01,603876,1.4580320119857788,129.4387716,387
1559,0.001,896,151535,697.25,0.01,606244,1.5671662092208862,131.0625195,388
1561,0.001,900,152228,694.82,0.01,609016,0.06919223070144653,133.13296337000003,390
1562,0.001,904,152844,691.78,0.01,611477,0.12403786182403564,138.66767761999998,391
1564,0.001,908,153410,696.83,0.01,613744,0.32703378796577454,137.10482439999998,392
1565,0.001,912,153950,695.36,0.01,615901,0.07683472335338593,137.31605499999998,393
1567,0.001,916,154710,696.45,0.01,618944,0.13963790237903595,138.58335312,394
1568,0.001,920,155207,696.5,0.01,620932,0.08774645626544952,139.16389400999998,395
1570,0.001,924,155901,696.98,0.01,623708,0.1186189129948616,145.38236494,397
1572,0.001,928,156708,709.47,0.01,626933,0.07581797987222672,146.77527661,398
1574,0.001,932,157432,709.53,0.01,629832,1.5059044361114502,154.43175831999997,400
1575,0.001,936,158058,708.46,0.01,632335,1.3694167137145996,160.45617457999998,401
1577,0.001,940,158779,712.33,0.01,635218,1.5131666660308838,166.62631961,402
1578,0.001,944,159338,702.78,0.01,637454,0.08562708646059036,170.71185854999996,403
1579,0.001,948,159844,687.7,0.01,639480,0.10752297192811966,174.39403328999998,404
1581,0.001,952,160439,679.46,0.01,641859,1.5262160301208496,173.70879883,405
1582,0.001,956,161143,677.22,0.01,644673,0.09359617531299591,174.08434562,407
1583,0.001,960,161532,657.11,0.01,646229,0.2191627025604248,174.44928814999994,407
1584,0.001,964,161898,637.3,0.01,647695,0.16315756738185883,175.68427547000002,408
1581,0.001,968,162408,629.44,0.01,649733,0.15707311034202576,176.90340138999997,410
1581,0.001,972,162717,619.29,0.01,650970,0.1647302508354187,172.79799018999998,411
1582,0.001,976,163083,599.07,0.01,652434,0.1365322470664978,169.88713401999996,412
1583,0.001,980,163303,583.9,0.01,653315,1.6033776998519897,160.91103399,412
1584,0.001,984,163758,568.81,0.01,655134,0.1735214740037918,164.27000216999997,413
1580,0.001,988,164257,560.48,0.01,657131,0.2635059058666229,163.04066380999998,415
1575,0.001,992,164996,562.09,0.01,660085,2.549267053604126,163.05950807,418
1571,0.001,996,165493,558.3,0.01,662074,0.14820197224617004,163.98617931999996,421
1568,0.001,1000,165921,547.69,0.01,663785,0.07190613448619843,162.73037043,423
1564,0.001,1004,166502,546.34,0.01,666111,0.14735746383666992,162.0990346,425
1563,0.001,1008,166745,533.38,0.01,667082,0.5735422968864441,158.40861785,426
1564,0.001,1012,167096,525.86,0.01,668487,0.6621871590614319,152.73748964000004,427
1564,0.001,1016,167429,508.76,0.01,669820,0.08720415830612183,153.34313411,428
1565,0.001,1020,167783,503.03,0.01,671235,0.8863889575004578,148.76106482,428
1566,0.001,1024,168318,496.68,0.01,673376,0.17800109088420868,148.37583234,429
1568,0.001,1028,169039,493.27,0.01,676260,4.54345178604126,150.32126008999998,431
1570,0.001,1032,169726,491.75,0.01,679007,0.9075680375099182,150.67193989000003,432
1571,0.001,1036,170465,496.26,0.01,681961,0.6588430404663086,149.63649982,433
1573,0.001,1040,171323,501.77,0.01,685395,1.4818544387817383,150.39237645,435
1575,0.001,1044,172096,510.33,0.01,688487,1.1632096767425537,149.93743755,437
1571,0.001,1048,172651,512.27,0.01,690707,0.5847442746162415,151.36339741,439
1572,0.001,1052,173057,504.73,0.01,692332,0.6919444799423218,154.43671646,440
1568,0.001,1056,173603,498.42,0.01,694515,0.07294177263975143,157.15477788,442
1569,0.001,1060,174030,499.95,0.01,696224,0.11433213949203491,160.87172275,443
1570,0.001,1064,174416,500.7,0.01,697765,0.07412877678871155,163.75495522,444
1571,0.001,1068,174789,495.25,0.01,699258,0.1067168116569519,161.86266398,445
1568,0.001,1072,175219,500.1,0.01,700980,0.07718556374311447,166.22060786999998,446
1569,0.001,1076,175926,513.72,0.01,703806,0.0523567870259285,172.37376418999997,448
1565,0.001,1080,176627,532.95,0.01,706610,1.2069236040115356,179.89489422999998,451
1561,0.001,1084,177234,539.06,0.01,709040,0.08225750923156738,178.74122077,454
1558,0.001,1088,177742,539.38,0.01,711069,0.9334955215454102,177.99938287,456
1559,0.001,1092,178217,528.86,0.01,712971,0.5484212040901184,177.41707393999997,457
1560,0.001,1096,178959,538.66,0.01,715940,0.20292194187641144,173.29916386000002,458
1562,0.001,1100,179489,542.75,0.01,718060,0.0648515373468399,171.07881817,459
1564,0.001,1104,180364,554.49,0.01,721560,0.0683097094297409,169.30092201,461
1566,0.001,1108,181263,580.73,0.01,725155,0.0705544501543045,168.08009837000006,463
1567,0.001,1112,182117,600.85,0.01,728572,1.828635573387146,170.20053745999996,464
1569,0.001,1116,182746,612.65,0.01,731085,0.09914478659629822,172.54333132999997,465
1569,0.001,1120,183135,614.08,0.01,732643,0.7721793055534363,172.43876845999995,466
1570,0.001,1124,183557,609.53,0.01,734329,0.7196406126022339,169.19670488,467
1571,0.001,1128,183813,590.94,0.01,735354,1.0988363027572632,164.35373450999998,468
1571,0.001,1132,184024,571.9,0.01,736197,0.8263058662414551,156.48633468,468
1572,0.001,1136,184248,551.35,0.01,737096,0.14495661854743958,148.90491195999996,468
1572,0.001,1140,184481,526.33,0.01,738028,0.6158362030982971,143.70413892999997,469
1573,0.001,1144,184749,506.1,0.01,739097,0.6164248585700989,135.34393367999996,469
1574,0.001,1148,185163,500.47,0.01,740754,0.19466955959796906,133.64881651999997,470
1574,0.001,1152,185445,495.49,0.01,741881,0.6432619690895081,129.94379474,471
1575,0.001,1156,185842,489.55,0.01,743470,0.10840485244989395,124.48318665999999,471
1576,0.001,1160,186409,495.16,0.01,745740,3.218984842300415,126.5331999,472
1577,0.001,1164,186737,492.86,0.01,747051,1.539262056350708,124.57596077,473
1578,0.001,1168,187113,492.95,0.01,748553,0.7936341762542725,127.25470218999999,474
1579,0.001,1172,187496,491.06,0.01,750086,0.11325458437204361,127.5495708,475
1579,0.001,1176,187880,478.15,0.01,751621,0.6630947589874268,126.55628173999997,475
1580,0.001,1180,188261,465.35,0.01,753145,0.18562078475952148,127.85676978999996,476
1577,0.001,1184,188733,459.94,0.01,755034,0.07575767487287521,129.69967671999999,478
1575,0.001,1188,189087,453.8,0.01,756449,0.3773428201675415,128.86727431,480
1573,0.001,1192,189421,448.16,0.01,757787,0.7746662497520447,127.04608730999996,481
1571,0.001,1196,189762,432.12,0.01,759152,0.9002981781959534,122.83532364999999,483
1568,0.001,1200,190284,431.79,0.01,761239,0.1091577485203743,122.07381928000002,485
1564,0.001,1204,190867,420.09,0.01,763569,0.7238942980766296,125.60795709,488
1561,0.001,1208,191434,406.84,0.01,765839,0.36810657382011414,128.5391989,490
1557,0.001,1212,192114,399.88,0.01,768560,0.558554470539093,131.04958771,493
1551,0.001,1216,193016,410.83,0.01,772168,0.10182978212833405,124.02449141999999,497
1548,0.001,1220,193564,417.14,0.01,774357,1.52751624584198,124.95451216,499
1549,0.001,1224,194113,422.24,0.01,776553,1.4651222229003906,131.02062746,501
1551,0.001,1228,194657,433.78,0.01,778732,0.09300301223993301,137.63070672999999,502
1551,0.001,1232,195044,440.83,0.01,780280,1.6433327198028564,142.68404030999997,502
1553,0.001,1236,195648,455.98,0.01,782694,0.9921005368232727,152.01675594,503
1554,0.001,1240,196312,473.24,0.01,785352,0.08776584267616272,152.62489498,505
1555,0.001,1244,196814,482.62,0.01,787359,0.5902208089828491,162.95874031999998,506
1552,0.001,1248,197567,496.15,0.01,790369,0.12457819283008575,163.67877004000002,509
1553,0.001,1252,198128,507.35,0.01,792616,0.07992078363895416,167.33699303000006,510
1553,0.001,1256,198473,505.23,0.01,793993,0.16173231601715088,169.40364757999998,510
1554,0.001,1260,198957,501.89,0.01,795929,1.5284291505813599,161.80097764,511
1555,0.001,1264,199254,500.69,0.01,797120,0.1368383765220642,158.13806823,512
1556,0.001,1268,199627,500.58,0.01,798611,1.4797239303588867,157.06984727,513
1556,0.001,1272,200074,503.14,0.01,800400,0.11232864856719971,156.96049489,514
1557,0.001,1276,200617,509.5,0.01,802571,0.47696226835250854,159.63137801000002,515
1559,0.001,1280,201378,524.68,0.01,805613,0.8004169464111328,158.49646673,516
1561,0.001,1284,202189,538.26,0.01,808860,1.9006919860839844,153.97078119999998,518
1562,0.001,1288,202866,551.19,0.01,811568,0.4474518597126007,153.76424851,519
1563,0.001,1292,203519,563.9,0.01,814177,0.06606532633304596,151.1487805,520
1564,0.001,1296,204158,575.83,0.01,816735,0.07790107280015945,154.00455079,521
1565,0.001,1300,204557,570.9,0.01,818329,0.24833820760250092,159.86516637,522
1566,0.001,1304,204985,564.75,0.01,820044,0.12070287764072418,154.61782528999998,523
1563,0.001,1308,205451,560.66,0.01,821905,0.24293768405914307,157.99462451,525
1560,0.001,1312,206042,557.12,0.01,824272,0.14500562846660614,158.97127258,528
1557,0.001,1316,206531,540.59,0.01,826227,0.45448267459869385,165.10221537,530
1554,0.001,1320,207188,544.96,0.01,828853,0.08201130479574203,165.80090856000004,533
